#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
68.65	398.0688
68.7	397.764
68.75	396.8496
68.8	397.1544
68.85	397.4592
68.9	397.1544
68.95	396.8496
69	395.9352
69.05	395.0208
69.1	394.716
69.15	393.4968
69.2	392.8872
69.25	392.2776
69.3	393.8016
69.35	393.4968
69.4	393.8016
69.45	392.8872
69.5	392.8872
69.55	391.9728
69.6	391.0584
69.65	389.8392
69.7	388.3152
69.75	387.4008
69.8	386.7912
69.85	385.8768
69.9	385.8768
69.95	386.1816
70	385.2672
70.05	385.2672
70.1	384.048
70.15	384.3528
70.2	383.4384
70.25	382.8288
70.3	382.524
70.35	382.524
70.4	381.9144
70.45	381.6096
70.5	381.3048
70.55	381
70.6	379.7808
70.65	379.476
70.7	379.476
70.75	379.1712
70.8	377.3424
70.85	376.7328
70.9	375.8184
70.95	375.2088
71	374.2944
71.05	373.6848
71.1	373.6848
71.15	373.6848
71.2	373.38
71.25	372.7704
71.3	372.4656
71.35	371.5512
71.4	371.856
71.45	371.5512
71.5	370.9416
71.55	370.9416
71.6	370.6368
71.65	370.332
71.7	369.4176
71.75	368.808
71.8	367.5888
71.85	366.9792
71.9	366.6744
71.95	366.0648
72	365.4552
72.05	365.1504
72.1	365.1504
72.15	363.9312
72.2	363.3216
72.25	362.712
72.3	361.4928
72.35	360.8832
72.4	360.5784
72.45	360.2736
72.5	360.2736
72.55	359.664
72.6	359.3592
72.65	359.3592
72.7	359.0544
72.75	358.14
72.8	357.2256
72.85	357.5304
72.9	357.8352
72.95	356.9208
73	356.0064
73.05	354.4824
73.1	353.8728
73.15	353.2632
73.2	352.044
73.25	351.4344
73.3	350.8248
73.35	350.8248
73.4	350.52
73.45	350.2152
73.5	349.9104
73.55	349.6056
73.6	348.6912
73.65	348.0816
73.7	347.472
73.75	346.8624
73.8	346.2528
73.85	346.2528
73.9	345.948
73.95	346.8624
74	345.3384
74.05	344.424
74.1	343.8144
74.15	342.9
74.2	343.2048
74.25	341.376
74.3	340.7664
74.35	340.1568
74.4	339.5472
74.45	338.9376
74.5	338.0232
74.55	338.9376
74.6	338.9376
74.65	338.9376
74.7	338.9376
74.75	338.6328
74.8	337.4136
74.85	337.1088
74.9	335.5848
74.95	334.6704
75	333.756
75.05	333.4512
75.1	333.4512
75.15	333.756
75.2	333.1464
75.25	332.8416
75.3	333.1464
75.35	331.9272
75.4	330.4032
75.45	329.4888
75.5	327.66
75.55	327.0504
75.6	326.4408
75.65	326.4408
75.7	326.4408
75.75	326.4408
75.8	325.5264
75.85	324.3072
75.9	323.088
75.95	322.1736
76	321.564
76.05	321.8688
76.1	321.2592
76.15	321.2592
76.2	319.7352
76.25	319.4304
76.3	319.7352
76.35	321.2592
76.4	321.564
76.45	319.7352
76.5	318.516
76.55	317.2968
76.6	316.6872
76.65	315.468
76.7	314.2488
76.75	313.0296
76.8	312.1152
76.85	313.3344
76.9	312.7248
76.95	312.42
77	312.42
77.05	311.8104
77.1	311.8104
77.15	310.896
77.2	310.5912
77.25	309.9816
77.3	309.372
77.35	308.4576
77.4	307.848
77.45	309.0672
77.5	309.0672
77.55	308.7624
77.6	308.1528
77.65	308.1528
77.7	307.2384
77.75	307.2384
77.8	306.324
77.85	304.8
77.9	303.8856
77.95	302.3616
78	300.5328
